table_name,row_count,null_geometry_count,empty_geometry_count,invalid_geometry_count,geometry_types,has_z_count,min_x,min_y,max_x,max_y
nps_boundary,72,0,0,4,MultiPolygon:72,0,-9438831.055443417,-1947761.5014558993,3277494.390936957,4139773.8350188634
nps_facilities,21904,0,0,0,Point:21904,0,-2863273.6099641332,-1979947.5674575232,3184789.8903423967,3275882.694963282
nrhp_points,67443,0,0,0,Point:67443,0,-1.7976931348623157e+308,-1.7976931348623157e+308,6607808.149617449,5331159.513874062
park_roads,4315,0,0,0,MultiLineString:4315,4315,-1119833.539455241,-467306.87759911735,1708805.0689066395,573535.8092948738
park_trails,1152,0,0,0,MultiLineString:1152,0,-1136125.34742891,-467373.968321668,1708616.7347271177,567270.3353153002
parking_areas,872,0,0,0,Point:872,872,-1116242.1178738622,-467191.32415197045,1708794.069698875,544413.8212090274
