park_name,road_km_per_100_sq_km,trail_km_per_100_sq_km,parking_records_per_100_sq_km
Assateague Island,58.63506278813412,15.543814126548277,16.181282116996982
Grand Teton,38.52178618512229,40.75923417197944,2.7897730242111805
Great Smoky Mountain,21.269401759157127,0.0006482683114148132,32.24461601056323
Rocky Mountain,17.028591787374577,65.1819278435919,12.306168808784951
