park_name,total_visitors,area_sq_km,avg_annual_visitors_per_sq_km
Assateague Island,2226105.090909091,173.03944024675593,12864.726606458293
Great Smoky Mountain,21603018.454545453,2096.474027721542,10304.453176566998
Grand Teton,4479586.636363637,1254.5823511895342,3570.579987926906
Rocky Mountain,3807707.3636363638,1080.7587809542792,3523.179668523504
