park_name,contains_count,contains_length_km,intersects_count,intersects_length_km,clipped_length_km
Rocky Mountain,24,26.48980512067,28,54.57560108360944,47.78753179469387
Great Smoky Mountain,105,92.98809045531863,109,107.76298959887914,107.44007278574374
Grand Teton,490,162.7709756091648,497,174.22751319763444,173.86102793774816
