state,park_name,area_acres,area_sq_km
CO,Black Canyon of the Gunnison,31227.960222165024,126.37507138352026
CO,Great Sand Dunes,107580.50360032496,435.3628519200014
CO,Mesa Verde,53688.35520991583,217.2690650893404
CO,Rocky Mountain,267061.31084169575,1080.7587809542792
